CH0,,,,CH1,,,,CH2,,,,CH3,,,,CH4,,,,CH5,,,,CH6,,,,CH7,,
PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV
199,22.03,2.9,,456,48.78,1,,266,28.9,1,,190,21.1,1,,409,43.82,1.8,,327,35,2.5,,295,31.9,1.9,,293,31.7,3.2
200,22.15,17,,457,48.87,2.09,,267,29,6.8,,191,21.2,5.6,,410,43.96,8.9,,328,35.1,9.5,,296,32,8,,294,31.8,9.3
201,22.25,28,,458,48.98,6.34,,268,29.1,11.9,,192,21.3,17.4,,411,44.09,27.1,,329,35.25,51,,297,32.1,8.5,,295,31.9,63.2
202,22.36,56,,459,49.06,46.7,,269,29.2,31.3,,193,21.4,81.8,,412,44.13,43,,330,35.34,57.5,,298,32.2,24.8,,296,32,147.9
203,22.47,124,,460,49.24,73,,270,29.3,52.2,,194,21.5,123,,413,44.27,100.9,,331,35.43,127.3,,299,32.3,52.9,,297,32.1,123.3
204,22.54,126,,461,49.28,99.8,,271,29.4,73.3,,195,21.6,227.7,,414,44.39,109.4,,332,35.52,129.4,,300,32.4,197.5,,298,32.2,161
205,22.65,295,,462,49.43,211.6,,272,29.5,208.9,,196,21.7,413.2,,415,44.52,344.9,,333,35.65,407.9,,301,32.5,429.6,,299,32.3,291.4
206,22.77,438,,463,49.55,346.8,,273,29.6,286.7,,197,21.8,474.3,,416,44.56,468.2,,334,35.78,633.4,,302,32.6,661.1,,300,32.4,680.1
207,22.87,601,,464,49.61,493.5,,274,29.7,511,,198,21.9,730.8,,417,44.72,769.9,,335,35.84,749.7,,303,32.7,773.9,,301,32.5,844.2
208,22.98,670,,465,49.73,646.4,,275,28.8,774.8,,199,22,848.5,,418,44.77,870.3,,336,35.96,846.5,,304,32.8,853,,302,32.6,895.4
209,23.1,743,,466,49.78,825.7,,276,30,831.1,,200,22.1,914.2,,419,44.93,901.9,,337,36.05,884.6,,305,32.9,930.1,,303,32.7,919.3
210,23.18,820,,467,49.94,825.1,,277,30.1,861,,201,22.2,973.5,,420,45.07,965.1,,338,36.17,950.3,,306,33,989.8,,304,32.8,993.2
211,23.28,934,,468,50,914,,278,30.2,971.5,,202,22.4,996.8,,421,45.13,988.9,,339,36.27,988,,307,33.1,995,,PG Value,SCOPE,Exp. -30mV
212,23.4,987,,469,50.14,969,,279,30.3,981.6,,PG Value,SCOPE,Exp. -30mV,,422,45.25,995.6,,340,36.37,996.5,,308,33.2,998.2,,-317,-34.11,1.4
PG Value,SCOPE,Exp. -30mV,,470,50.2,983,,280,30.4,989.9,,-330,-35.38,1.6,,PG Value,SCOPE,Exp. -30mV,,PG Value,SCOPE,Exp. -30mV,,PG Value,SCOPE,Exp. -30mV,,-318,-34.22,6.9
