"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +1.07462375484E-002, +0.00000000000E+000
+2.00000000000E+006, +2.67401422915E-003, +0.00000000000E+000
+3.00000000000E+006, -1.31080545050E-002, +0.00000000000E+000
+4.00000000000E+006, -1.72799104894E-002, +0.00000000000E+000
+5.00000000000E+006, -2.65228074131E-002, +0.00000000000E+000
+6.00000000000E+006, -3.91738005105E-002, +0.00000000000E+000
+7.00000000000E+006, -5.34816264967E-002, +0.00000000000E+000
+8.00000000000E+006, -7.56046763940E-002, +0.00000000000E+000
+9.00000000000E+006, -1.02865732500E-001, +0.00000000000E+000
+1.00000000000E+007, -1.38753734839E-001, +0.00000000000E+000
+1.10000000000E+007, -1.66692601707E-001, +0.00000000000E+000
+1.20000000000E+007, -1.69736584271E-001, +0.00000000000E+000
+1.30000000000E+007, -1.83165246878E-001, +0.00000000000E+000
+1.40000000000E+007, -2.01895989790E-001, +0.00000000000E+000
+1.50000000000E+007, -2.18048964474E-001, +0.00000000000E+000
+1.60000000000E+007, -2.44632914061E-001, +0.00000000000E+000
+1.70000000000E+007, -2.69354512175E-001, +0.00000000000E+000
+1.80000000000E+007, -3.07558104085E-001, +0.00000000000E+000
+1.90000000000E+007, -3.55563300650E-001, +0.00000000000E+000
+2.00000000000E+007, -3.93496064968E-001, +0.00000000000E+000
+2.10000000000E+007, -4.07667255490E-001, +0.00000000000E+000
+2.20000000000E+007, -4.38907272055E-001, +0.00000000000E+000
+2.30000000000E+007, -4.81260256334E-001, +0.00000000000E+000
+2.40000000000E+007, -5.44380269499E-001, +0.00000000000E+000
+2.50000000000E+007, -6.08090729106E-001, +0.00000000000E+000
+2.60000000000E+007, -7.52176655333E-001, +0.00000000000E+000
+2.70000000000E+007, -1.02553472587E+000, +0.00000000000E+000
+2.80000000000E+007, -1.46645405629E+000, +0.00000000000E+000
+2.90000000000E+007, -2.62895898965E+000, +0.00000000000E+000
+3.00000000000E+007, -5.81276894024E+000, +0.00000000000E+000
+3.10000000000E+007, -2.32976322665E+000, +0.00000000000E+000
+3.20000000000E+007, -1.44286875976E+000, +0.00000000000E+000
+3.30000000000E+007, -9.91163408047E-001, +0.00000000000E+000
+3.40000000000E+007, -8.30045303203E-001, +0.00000000000E+000
+3.50000000000E+007, -7.09511758646E-001, +0.00000000000E+000
+3.60000000000E+007, -6.64043893945E-001, +0.00000000000E+000
+3.70000000000E+007, -6.47507313329E-001, +0.00000000000E+000
+3.80000000000E+007, -6.42182434942E-001, +0.00000000000E+000
+3.90000000000E+007, -6.59747692220E-001, +0.00000000000E+000
+4.00000000000E+007, -6.75902782491E-001, +0.00000000000E+000
+4.10000000000E+007, -6.97324898391E-001, +0.00000000000E+000
+4.20000000000E+007, -6.95098879288E-001, +0.00000000000E+000
+4.30000000000E+007, -6.96700461525E-001, +0.00000000000E+000
+4.40000000000E+007, -7.00719373243E-001, +0.00000000000E+000
+4.50000000000E+007, -6.81834997353E-001, +0.00000000000E+000
+4.60000000000E+007, -6.71094717600E-001, +0.00000000000E+000
+4.70000000000E+007, -6.71431385435E-001, +0.00000000000E+000
+4.80000000000E+007, -6.64063628944E-001, +0.00000000000E+000
