"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.46318521699E-003, +0.00000000000E+000
+2.00000000000E+006, +1.51801660783E-003, +0.00000000000E+000
+3.00000000000E+006, -1.31590286088E-002, +0.00000000000E+000
+4.00000000000E+006, -1.59814777424E-002, +0.00000000000E+000
+5.00000000000E+006, -2.60588943510E-002, +0.00000000000E+000
+6.00000000000E+006, -3.85041567916E-002, +0.00000000000E+000
+7.00000000000E+006, -5.37330418380E-002, +0.00000000000E+000
+8.00000000000E+006, -7.50132424611E-002, +0.00000000000E+000
+9.00000000000E+006, -9.89047540987E-002, +0.00000000000E+000
+1.00000000000E+007, -1.32753349812E-001, +0.00000000000E+000
+1.10000000000E+007, -1.62445322620E-001, +0.00000000000E+000
+1.20000000000E+007, -1.66819477676E-001, +0.00000000000E+000
+1.30000000000E+007, -1.82706030973E-001, +0.00000000000E+000
+1.40000000000E+007, -2.01763150044E-001, +0.00000000000E+000
+1.50000000000E+007, -2.20250115126E-001, +0.00000000000E+000
+1.60000000000E+007, -2.45927432137E-001, +0.00000000000E+000
+1.70000000000E+007, -2.71096534878E-001, +0.00000000000E+000
+1.80000000000E+007, -3.08150691638E-001, +0.00000000000E+000
+1.90000000000E+007, -3.55501929900E-001, +0.00000000000E+000
+2.00000000000E+007, -3.94456185419E-001, +0.00000000000E+000
+2.10000000000E+007, -4.10228558508E-001, +0.00000000000E+000
+2.20000000000E+007, -4.41432949192E-001, +0.00000000000E+000
+2.30000000000E+007, -4.82520818980E-001, +0.00000000000E+000
+2.40000000000E+007, -5.41691649803E-001, +0.00000000000E+000
+2.50000000000E+007, -6.03025349841E-001, +0.00000000000E+000
+2.60000000000E+007, -7.33423936553E-001, +0.00000000000E+000
+2.70000000000E+007, -9.69395264919E-001, +0.00000000000E+000
+2.80000000000E+007, -1.36238231402E+000, +0.00000000000E+000
+2.90000000000E+007, -2.36114535909E+000, +0.00000000000E+000
+3.00000000000E+007, -5.41192306671E+000, +0.00000000000E+000
+3.10000000000E+007, -2.78442223587E+000, +0.00000000000E+000
+3.20000000000E+007, -1.63274099794E+000, +0.00000000000E+000
+3.30000000000E+007, -1.07872309558E+000, +0.00000000000E+000
+3.40000000000E+007, -8.73300035224E-001, +0.00000000000E+000
+3.50000000000E+007, -7.36246734878E-001, +0.00000000000E+000
+3.60000000000E+007, -6.79137766024E-001, +0.00000000000E+000
