"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +4.13130056554E+003, +0.00000000000E+000
+2.00000000000E+006, +2.75263187104E+003, +0.00000000000E+000
+3.00000000000E+006, +8.86624487248E+002, +0.00000000000E+000
+4.00000000000E+006, +1.26723754352E+003, +0.00000000000E+000
+5.00000000000E+006, +7.71769098970E+002, +0.00000000000E+000
+6.00000000000E+006, +6.41218346349E+002, +0.00000000000E+000
+7.00000000000E+006, +3.17508245975E+002, +0.00000000000E+000
+8.00000000000E+006, +2.44206053353E+002, +0.00000000000E+000
+9.00000000000E+006, +1.92219998431E+002, +0.00000000000E+000
+1.00000000000E+007, +1.39914400998E+002, +0.00000000000E+000
+1.10000000000E+007, +1.15129729797E+002, +0.00000000000E+000
+1.20000000000E+007, +9.97424428222E+001, +0.00000000000E+000
+1.30000000000E+007, +8.86413610490E+001, +0.00000000000E+000
+1.40000000000E+007, +8.22076399723E+001, +0.00000000000E+000
+1.50000000000E+007, +7.49254950069E+001, +0.00000000000E+000
+1.60000000000E+007, +6.55889753897E+001, +0.00000000000E+000
+1.70000000000E+007, +6.00606332290E+001, +0.00000000000E+000
+1.80000000000E+007, +5.35348048931E+001, +0.00000000000E+000
+1.90000000000E+007, +4.73973373503E+001, +0.00000000000E+000
+2.00000000000E+007, +4.09652354477E+001, +0.00000000000E+000
+2.10000000000E+007, +3.96979244651E+001, +0.00000000000E+000
+2.20000000000E+007, +3.66922649638E+001, +0.00000000000E+000
+2.30000000000E+007, +3.32506090859E+001, +0.00000000000E+000
+2.40000000000E+007, +2.93363256774E+001, +0.00000000000E+000
+2.50000000000E+007, +2.58275211195E+001, +0.00000000000E+000
+2.60000000000E+007, +2.08788709635E+001, +0.00000000000E+000
+2.70000000000E+007, +1.57140481123E+001, +0.00000000000E+000
+2.80000000000E+007, +1.14693530925E+001, +0.00000000000E+000
+2.90000000000E+007, +6.98639730371E+000, +0.00000000000E+000
+3.00000000000E+007, +4.18489652504E+000, +0.00000000000E+000
+3.10000000000E+007, +6.27256278688E+000, +0.00000000000E+000
+3.20000000000E+007, +9.91117472779E+000, +0.00000000000E+000
+3.30000000000E+007, +1.46350352836E+001, +0.00000000000E+000
+3.40000000000E+007, +1.86520180756E+001, +0.00000000000E+000
+3.50000000000E+007, +2.24331323932E+001, +0.00000000000E+000
+3.60000000000E+007, +2.51829606646E+001, +0.00000000000E+000
+3.70000000000E+007, +2.58953724812E+001, +0.00000000000E+000
