"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +4.20491787993E-003, +0.00000000000E+000
+2.00000000000E+006, +6.31097104671E-003, +0.00000000000E+000
+3.00000000000E+006, -1.95931726364E-002, +0.00000000000E+000
+4.00000000000E+006, -1.37083871693E-002, +0.00000000000E+000
+5.00000000000E+006, -2.25090496901E-002, +0.00000000000E+000
+6.00000000000E+006, -2.70918532799E-002, +0.00000000000E+000
+7.00000000000E+006, -5.47130253671E-002, +0.00000000000E+000
+8.00000000000E+006, -7.11361415353E-002, +0.00000000000E+000
+9.00000000000E+006, -9.03752790603E-002, +0.00000000000E+000
+1.00000000000E+007, -1.24162166020E-001, +0.00000000000E+000
+1.10000000000E+007, -1.50892529604E-001, +0.00000000000E+000
+1.20000000000E+007, -1.74172206669E-001, +0.00000000000E+000
+1.30000000000E+007, -1.95986569898E-001, +0.00000000000E+000
+1.40000000000E+007, -2.11326297605E-001, +0.00000000000E+000
+1.50000000000E+007, -2.31867815780E-001, +0.00000000000E+000
+1.60000000000E+007, -2.64878745417E-001, +0.00000000000E+000
+1.70000000000E+007, -2.89264096318E-001, +0.00000000000E+000
+1.80000000000E+007, -3.24532800586E-001, +0.00000000000E+000
+1.90000000000E+007, -3.66568219523E-001, +0.00000000000E+000
+2.00000000000E+007, -4.24145764103E-001, +0.00000000000E+000
+2.10000000000E+007, -4.37691776546E-001, +0.00000000000E+000
+2.20000000000E+007, -4.73562541214E-001, +0.00000000000E+000
+2.30000000000E+007, -5.22607558045E-001, +0.00000000000E+000
+2.40000000000E+007, -5.92388854658E-001, +0.00000000000E+000
+2.50000000000E+007, -6.72943708732E-001, +0.00000000000E+000
+2.60000000000E+007, -8.32663845313E-001, +0.00000000000E+000
+2.70000000000E+007, -1.10698952399E+000, +0.00000000000E+000
+2.80000000000E+007, -1.51848151516E+000, +0.00000000000E+000
+2.90000000000E+007, -2.50370749750E+000, +0.00000000000E+000
+3.00000000000E+007, -4.23289533216E+000, +0.00000000000E+000
+3.10000000000E+007, -2.79331438499E+000, +0.00000000000E+000
+3.20000000000E+007, -1.75873102395E+000, +0.00000000000E+000
+3.30000000000E+007, -1.18885199086E+000, +0.00000000000E+000
+3.40000000000E+007, -9.32255828569E-001, +0.00000000000E+000
+3.50000000000E+007, -7.74893992013E-001, +0.00000000000E+000
+3.60000000000E+007, -6.90185676321E-001, +0.00000000000E+000
+3.70000000000E+007, -6.71178696087E-001, +0.00000000000E+000
+3.80000000000E+007, -6.48541108581E-001, +0.00000000000E+000
+3.90000000000E+007, -6.76017170263E-001, +0.00000000000E+000
+4.00000000000E+007, -6.88205446579E-001, +0.00000000000E+000
+4.10000000000E+007, -7.09424579773E-001, +0.00000000000E+000
+4.20000000000E+007, -7.01159496128E-001, +0.00000000000E+000
+4.30000000000E+007, -7.09707980813E-001, +0.00000000000E+000
+4.40000000000E+007, -7.14227736998E-001, +0.00000000000E+000
+4.50000000000E+007, -6.96756269495E-001, +0.00000000000E+000
+4.60000000000E+007, -6.81455625745E-001, +0.00000000000E+000
+4.70000000000E+007, -6.90372267916E-001, +0.00000000000E+000
+4.80000000000E+007, -6.83198053846E-001, +0.00000000000E+000
+4.90000000000E+007, -6.53950281904E-001, +0.00000000000E+000
+5.00000000000E+007, -6.51151652682E-001, +0.00000000000E+000
+5.10000000000E+007, -6.45014069034E-001, +0.00000000000E+000
+5.20000000000E+007, -6.52464414253E-001, +0.00000000000E+000
+5.30000000000E+007, -6.75949806416E-001, +0.00000000000E+000
+5.40000000000E+007, -7.14773737374E-001, +0.00000000000E+000
+5.50000000000E+007, -7.38438762066E-001, +0.00000000000E+000
+5.60000000000E+007, -7.29701633010E-001, +0.00000000000E+000
+5.70000000000E+007, -7.60099167276E-001, +0.00000000000E+000
+5.80000000000E+007, -7.77314991621E-001, +0.00000000000E+000
+5.90000000000E+007, -7.76141237187E-001, +0.00000000000E+000
+6.00000000000E+007, -7.99937860118E-001, +0.00000000000E+000
+6.10000000000E+007, -8.65335391124E-001, +0.00000000000E+000
+6.20000000000E+007, -9.05424058970E-001, +0.00000000000E+000
+6.30000000000E+007, -9.82423599132E-001, +0.00000000000E+000
+6.40000000000E+007, -9.87971751057E-001, +0.00000000000E+000
+6.50000000000E+007, -9.42645635404E-001, +0.00000000000E+000
+6.60000000000E+007, -9.33616557621E-001, +0.00000000000E+000
+6.70000000000E+007, -9.51994482329E-001, +0.00000000000E+000
+6.80000000000E+007, -1.00359230025E+000, +0.00000000000E+000
+6.90000000000E+007, -1.06479922305E+000, +0.00000000000E+000
+7.00000000000E+007, -1.15938804843E+000, +0.00000000000E+000
+7.10000000000E+007, -1.23579357685E+000, +0.00000000000E+000
+7.20000000000E+007, -1.32771665350E+000, +0.00000000000E+000
+7.30000000000E+007, -1.46579366445E+000, +0.00000000000E+000
+7.40000000000E+007, -1.58038497009E+000, +0.00000000000E+000
+7.50000000000E+007, -1.68094754239E+000, +0.00000000000E+000
+7.60000000000E+007, -1.84002452075E+000, +0.00000000000E+000
+7.70000000000E+007, -2.19233383380E+000, +0.00000000000E+000
+7.80000000000E+007, -2.76098893257E+000, +0.00000000000E+000
+7.90000000000E+007, -3.53063032056E+000, +0.00000000000E+000
+8.00000000000E+007, -4.93334726981E+000, +0.00000000000E+000
+8.10000000000E+007, -7.59681889564E+000, +0.00000000000E+000
+8.20000000000E+007, -1.03108513554E+001, +0.00000000000E+000
+8.30000000000E+007, -9.62107375881E+000, +0.00000000000E+000
+8.40000000000E+007, -7.51901783658E+000, +0.00000000000E+000
+8.50000000000E+007, -5.63815129528E+000, +0.00000000000E+000
+8.60000000000E+007, -4.37564793476E+000, +0.00000000000E+000
+8.70000000000E+007, -3.59109765954E+000, +0.00000000000E+000
+8.80000000000E+007, -3.09556404885E+000, +0.00000000000E+000
+8.90000000000E+007, -2.76464458039E+000, +0.00000000000E+000
+9.00000000000E+007, -2.49248410128E+000, +0.00000000000E+000
+9.10000000000E+007, -2.27743874367E+000, +0.00000000000E+000
+9.20000000000E+007, -2.13149353293E+000, +0.00000000000E+000
+9.30000000000E+007, -2.03789143637E+000, +0.00000000000E+000
+9.40000000000E+007, -1.94789123414E+000, +0.00000000000E+000
+9.50000000000E+007, -1.86380929978E+000, +0.00000000000E+000
+9.60000000000E+007, -1.79209021202E+000, +0.00000000000E+000
+9.70000000000E+007, -1.72364845879E+000, +0.00000000000E+000
+9.80000000000E+007, -1.68043921866E+000, +0.00000000000E+000
+9.90000000000E+007, -1.64707056817E+000, +0.00000000000E+000
+1.00000000000E+008, -1.63573352662E+000, +0.00000000000E+000
+1.01000000000E+008, -1.60833327733E+000, +0.00000000000E+000
+1.02000000000E+008, -1.58695177001E+000, +0.00000000000E+000
+1.03000000000E+008, -1.58511181986E+000, +0.00000000000E+000
+1.04000000000E+008, -1.58674047696E+000, +0.00000000000E+000
+1.05000000000E+008, -1.58963207216E+000, +0.00000000000E+000
+1.06000000000E+008, -1.60823147013E+000, +0.00000000000E+000
+1.07000000000E+008, -1.64223279783E+000, +0.00000000000E+000
+1.08000000000E+008, -1.68744501847E+000, +0.00000000000E+000
+1.09000000000E+008, -1.71648186506E+000, +0.00000000000E+000
+1.10000000000E+008, -1.75625950072E+000, +0.00000000000E+000
+1.11000000000E+008, -1.80850591088E+000, +0.00000000000E+000
+1.12000000000E+008, -1.88545793368E+000, +0.00000000000E+000
+1.13000000000E+008, -1.96960751108E+000, +0.00000000000E+000
+1.14000000000E+008, -2.07136285711E+000, +0.00000000000E+000
+1.15000000000E+008, -2.15951237450E+000, +0.00000000000E+000
+1.16000000000E+008, -2.28402426225E+000, +0.00000000000E+000
+1.17000000000E+008, -2.40094587493E+000, +0.00000000000E+000
+1.18000000000E+008, -2.55089015186E+000, +0.00000000000E+000
+1.19000000000E+008, -2.73652412052E+000, +0.00000000000E+000
+1.20000000000E+008, -2.93966357626E+000, +0.00000000000E+000
+1.21000000000E+008, -3.18137936281E+000, +0.00000000000E+000
+1.22000000000E+008, -3.45060253759E+000, +0.00000000000E+000
+1.23000000000E+008, -3.73945989254E+000, +0.00000000000E+000
+1.24000000000E+008, -4.07212916809E+000, +0.00000000000E+000
+1.25000000000E+008, -4.47727218841E+000, +0.00000000000E+000
+1.26000000000E+008, -4.95100624835E+000, +0.00000000000E+000
+1.27000000000E+008, -5.45665634814E+000, +0.00000000000E+000
+1.28000000000E+008, -5.86231448336E+000, +0.00000000000E+000
+1.29000000000E+008, -6.07570012319E+000, +0.00000000000E+000
+1.30000000000E+008, -6.08111703774E+000, +0.00000000000E+000
+1.31000000000E+008, -5.88996988215E+000, +0.00000000000E+000
+1.32000000000E+008, -5.54572041888E+000, +0.00000000000E+000
